0;5.35;8.45;7.42;10.6;7.42;10.6;9.65;13.6;9.65;13.6;11.4;15.26;11.4;15.26;17.25;17.25;17.25;17.25;19.34;19.34;19.34;19.34;21.54;21.54;21.54;21.54;23.45;23.45;23.45;23.45;25.55;25.55;25.55;25.55;27.35;27.35;27.35;27.35;29.65;29.65;29.65;29.65;31.55;31.55;31.55;31.55
5.35;0;8.5;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2;31.5;31.5;31.5;31.5;33.8;33.8;33.8;33.8
8.45;8.5;0;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2;31.5;31.5;31.5;31.5;33.8;33.8;33.8;33.8
7.42;10.8;10.8;0;8.5;8.5;8.5;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2;31.5;31.5;31.5;31.5
10.6;10.8;10.8;8.5;0;8.5;8.5;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2;31.5;31.5;31.5;31.5
7.42;10.8;10.8;8.5;8.5;0;8.5;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2;31.5;31.5;31.5;31.5
10.6;10.8;10.8;8.5;8.5;8.5;0;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2;31.5;31.5;31.5;31.5
9.65;13.1;13.1;10.8;10.8;10.8;10.8;0;8.5;8.5;8.5;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2
13.6;13.1;13.1;10.8;10.8;10.8;10.8;8.5;0;8.5;8.5;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2
9.65;13.1;13.1;10.8;10.8;10.8;10.8;8.5;8.5;0;8.5;10.8;10.8;10.8;10.8;13.1;13.1;13.1;13.1;15.4;15.4;15.4;15.4;17.7;17.7;17.7;17.7;20;20;20;20;22.3;22.3;22.3;22.3;24.6;24.6;24.6;24.6;26.9;26.9;26.9;26.9;29.2;29.2;29.2;29.2
