naive-break_skip-1;0;0;0
naive-break_skip-2;0;0;0
naive-break_skip-3;0;0;0
naive-break_skip-4;0;0;0
naive-break_skip-5;0;0;0
naive-break_skip-6;0;0;0
naive-break_skip-7;0;0;0
naive-break_skip-8;0;0;0
naive-break_skip-9;99;0;6,7
naive-break_skip-10;0;0;0
naive-break_skip-11;0;0;0
naive-break_skip-12;0;0;0
naive-break_skip-13;0;0;0
naive-break_skip-14;99;0;3,45999999999999
naive-break_skip-15;0;0;0
naive-break_skip-16;0;0;0
naive-break_skip-17;0;0;0
naive-break_skip-18;99;0;2,25
naive-break_skip-19;0;0;0
naive-break_skip-20;0;0;0
naive-break_skip-21;99;0;3,69
naive-break_skip-22;0;0;0
naive-break_skip-23;39;0;3,69
naive-break_skip-24;0;0;0
naive-break_skip-25;0;0;0
naive-break_skip-26;0;0;0
naive-break_skip-27;99;0;12,4
naive-break_skip-28;99;0;12,4
naive-break_skip-29;0;0;0
naive-break_skip-30;0;0;0
naive-break_skip-31;30;0;7,38
naive-break_skip-32;6;0;3,69
naive-break_skip-33;0;0;0
naive-break_skip-34;12;0;3,69
naive-break_skip-35;0;0;0
naive-break_skip-36;41;0;3,69
naive-break_skip-37;99;0;20,67
naive-break_skip-38;51;0;50,4
naive-break_skip-39;0;0;0
naive-break_skip-40;47;0;30,33
naive-break_skip-41;38;0;18,45
naive-break_skip-42;39;1;94,23
naive-break_skip-43;54;1;66,49
naive-break_skip-44;99;0;50,59
naive-break_skip-45;49;0;14,76
naive-break_skip-46;52;0;50,4
naive-break_skip-47;62;2;116,15
naive-break_skip-48;43;2;114,01
naive-break_skip-49;39;0;31,14
naive-break_skip-50;51;1;79,18
naive-break_skip-51;55;2;120,36
naive-break_skip-52;49;1;112,46
naive-break_skip-53;48;1;70,47
naive-break_skip-54;59;1;91,58
naive-break_skip-55;47;0;34,02
naive-break_skip-56;50;2;148,62
naive-break_skip-57;60;1;87,08
naive-break_skip-58;50;1;74,68
naive-break_skip-59;54;1;95,04
naive-break_skip-60;58;1;83,16
naive-break_skip-61;52;4;298,09
naive-break_skip-62;52;4;257,62
naive-break_skip-63;56;3;215,02
naive-break_skip-64;59;1;119,84
naive-break_skip-65;50;2;124,63
naive-break_skip-66;99;2;132,23
naive-break_skip-67;64;3;211,04
naive-break_skip-68;99;2;135,92
naive-break_skip-69;56;2;149,66
naive-break_skip-70;63;3;199,85
naive-break_skip-71;99;7;413,94
naive-break_skip-72;60;4;256,62
naive-break_skip-73;58;3;174,55
naive-break_skip-74;99;8;616,4
