naive-break_skip-1;0;0;0
naive-break_skip-2;0;0;0
naive-break_skip-3;1391;342;25687,3500000006
naive-break_skip-4;1415;341;25651,9900000006
naive-break_skip-5;1386;290;20776,6499999999
naive-break_skip-6;1399;343;25797,0100000006
naive-break_skip-7;1391;291;20825,1499999998
naive-break_skip-8;1396;343;25775,5000000006
naive-break_skip-9;1392;343;25754,2000000006
naive-break_skip-10;1387;12;1152,12
naive-break_skip-11;1379;43;2603,57999999999
naive-break_skip-12;1384;23;1541,13
naive-break_skip-13;0;0;0
naive-break_skip-14;1392;13;1006,02
naive-break_skip-15;1391;11;840,079999999999
naive-break_skip-16;1383;11;786,01
naive-break_skip-17;1391;27;1819,78
naive-break_skip-18;1391;54;3213,18999999999
naive-break_skip-19;1381;40;2532,26
naive-break_skip-20;1370;6;629,839999999999
naive-break_skip-21;1379;10;742,619999999999
naive-break_skip-22;1390;3;408,47
naive-break_skip-23;1383;8;704,559999999999
naive-break_skip-24;0;0;0
naive-break_skip-25;1380;6;516,46
naive-break_skip-26;1384;10;717,319999999999
naive-break_skip-27;1356;3;376,47
naive-break_skip-28;1366;8;673,379999999999
naive-break_skip-29;1383;9;762,879999999999
naive-break_skip-30;1368;0;184,76
naive-break_skip-31;1380;0;179,92
naive-break_skip-32;1369;1;280,93
naive-break_skip-33;1354;3;379,61
naive-break_skip-34;1375;3;415,8
naive-break_skip-35;1355;0;45,09
naive-break_skip-36;1372;0;280,17
naive-break_skip-37;1376;4;508,24
naive-break_skip-38;1373;1;302,03
naive-break_skip-39;1377;2;310,7
naive-break_skip-40;1351;0;205,43
naive-break_skip-41;1375;0;137,47
naive-break_skip-42;1353;0;97,89
naive-break_skip-43;1254;0;241,6
naive-break_skip-44;1357;0;164,03
naive-break_skip-45;1334;0;32,37
naive-break_skip-46;1368;0;209,12
naive-break_skip-47;1370;0;133,5
naive-break_skip-48;1332;0;127,8
naive-break_skip-49;1376;0;179,78
naive-break_skip-50;1334;0;23,75
naive-break_skip-51;1350;0;26,85
naive-break_skip-52;1362;0;15,64
naive-break_skip-53;1282;0;21,43
naive-break_skip-54;863;0;20,97
naive-break_skip-55;1334;0;12,95
naive-break_skip-56;1348;0;10,31
naive-break_skip-57;1415;0;173,84
naive-break_skip-58;928;0;9,39999999999999
naive-break_skip-59;1224;0;37,75
naive-break_skip-60;0;0;0
naive-break_skip-61;0;0;0
naive-break_skip-62;1415;0;7,71
naive-break_skip-63;42;0;4,31
naive-break_skip-64;0;0;0
naive-break_skip-65;667;0;5,2
